# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	7.98147480e-03	5	1.03642330e-06	3.80440270e-09	4	false	GAMG	1.00000000e+00	6.21173260e-03	5	true
2               	smoothSolver	1.98499830e-01	1.04773210e-03	6	2.24732380e-01	9.56538580e-04	6	false	GAMG	2.27900230e-03	1.74456330e-05	4	true
3               	smoothSolver	9.77360520e-02	5.42689940e-04	6	1.13705430e-01	5.41044820e-04	6	false	GAMG	1.52779470e-03	8.24105080e-06	4	true
4               	smoothSolver	5.56696120e-02	3.19166200e-04	6	6.28310510e-02	3.13984520e-04	6	false	GAMG	9.77902790e-04	5.49829130e-06	4	true
5               	smoothSolver	3.34295390e-02	1.99251000e-04	6	3.90254110e-02	2.07295130e-04	6	false	GAMG	6.53498800e-04	3.84868930e-06	4	true
6               	smoothSolver	2.21778270e-02	1.29279260e-04	6	2.63388880e-02	1.47466450e-04	6	false	GAMG	4.62589210e-04	2.74602690e-06	4	true
7               	smoothSolver	1.52817030e-02	8.68811190e-05	6	1.82511560e-02	1.07057160e-04	6	false	GAMG	3.26254810e-04	1.95121270e-06	4	true
8               	smoothSolver	1.06923820e-02	5.97579310e-05	6	1.28695460e-02	7.84299070e-05	6	false	GAMG	2.37251300e-04	1.39340880e-06	4	true
9               	smoothSolver	7.55482130e-03	4.17490140e-05	6	9.17426210e-03	5.77165060e-05	6	false	GAMG	1.73726200e-04	9.89956980e-07	4	true
10              	smoothSolver	5.37307800e-03	2.94831220e-05	6	6.59027060e-03	4.25662450e-05	6	false	GAMG	1.27774000e-04	7.04060650e-07	4	true
11              	smoothSolver	3.83865790e-03	2.09786130e-05	6	4.76214740e-03	3.14204160e-05	6	false	GAMG	9.57079580e-05	5.03270760e-07	4	true
12              	smoothSolver	2.75106320e-03	1.50071210e-05	6	3.45082660e-03	2.31949250e-05	6	false	GAMG	7.17283650e-05	3.63308510e-07	4	true
13              	smoothSolver	1.97600460e-03	1.07770870e-05	6	2.50473610e-03	1.71165190e-05	6	false	GAMG	5.34239500e-05	2.64703790e-07	4	true
14              	smoothSolver	1.42155850e-03	7.76166430e-06	6	1.81980440e-03	1.26239230e-05	6	false	GAMG	4.01144760e-05	1.93213830e-07	4	true
15              	smoothSolver	1.02385140e-03	5.60230590e-06	6	1.32282830e-03	9.30452750e-06	6	false	GAMG	3.02026690e-05	1.40655360e-07	4	true
16              	smoothSolver	7.38015040e-04	4.05083650e-06	6	9.61596320e-04	6.85418620e-06	6	false	GAMG	2.27020780e-05	1.02182530e-07	4	true
17              	smoothSolver	5.32290280e-04	2.93342770e-06	6	6.99046200e-04	5.04761320e-06	6	false	GAMG	1.70278720e-05	7.45271340e-08	4	true
18              	smoothSolver	3.84077810e-04	2.12693470e-06	6	5.08166190e-04	3.71665720e-06	6	false	GAMG	1.27473180e-05	5.41174300e-08	4	true
19              	smoothSolver	2.77217080e-04	1.54417160e-06	6	3.69361720e-04	2.73671560e-06	6	false	GAMG	9.52867180e-06	3.91487690e-08	4	true
20              	smoothSolver	2.00131590e-04	1.12244800e-06	6	2.68395150e-04	2.01716070e-06	6	false	GAMG	7.13049450e-06	2.82890680e-08	4	true
21              	smoothSolver	1.44503610e-04	8.16919850e-07	6	1.94997340e-04	1.48945010e-06	6	false	GAMG	5.33876940e-06	2.05231690e-08	4	true
22              	smoothSolver	1.04348920e-04	5.95359430e-07	6	1.41703570e-04	1.10214150e-06	6	false	GAMG	4.00069160e-06	1.47657790e-08	4	true
23              	smoothSolver	7.53585120e-05	4.34486520e-07	6	1.02999160e-04	8.17930660e-07	6	false	GAMG	2.98851790e-06	1.06561890e-08	4	true
