# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	1.00000000e+00	4.25471130e-03	5	9.99999960e-01	9.99448150e-03	4	false	GAMG	1.00000000e+00	7.10007480e-03	8	true
2               	smoothSolver	7.97755050e-01	4.45374500e-03	8	2.46391310e-01	2.25260850e-03	7	false	GAMG	2.10057750e-03	1.35161940e-05	8	true
3               	smoothSolver	9.15405510e-02	5.88270750e-04	7	2.17882370e-02	1.20082450e-04	7	false	GAMG	2.62466770e-02	1.62304890e-04	5	true
4               	smoothSolver	4.89763830e-02	3.28121420e-04	7	1.60718890e-02	8.04242370e-05	7	false	GAMG	1.80324390e-02	9.50041670e-05	4	true
5               	smoothSolver	3.51720990e-02	2.59895370e-04	7	1.31705760e-02	7.19120730e-05	7	false	GAMG	9.45150990e-03	7.11062960e-05	4	true
6               	smoothSolver	2.76103410e-02	2.18575000e-04	7	1.10908370e-02	6.62939070e-05	7	false	GAMG	5.97922160e-03	5.33184320e-05	4	true
7               	smoothSolver	2.28778380e-02	1.90534100e-04	7	9.76192410e-03	6.23052570e-05	7	false	GAMG	4.16211970e-03	1.91465720e-05	5	true
8               	smoothSolver	1.97122900e-02	1.69395210e-04	7	8.80027010e-03	5.93589270e-05	7	false	GAMG	3.08068870e-03	1.62610710e-05	5	true
9               	smoothSolver	1.73550080e-02	1.53210400e-04	7	8.06445170e-03	5.67814440e-05	7	false	GAMG	2.42169440e-03	1.41305990e-05	5	true
10              	smoothSolver	1.55480690e-02	1.40155540e-04	7	7.48161130e-03	5.45037670e-05	7	false	GAMG	1.96634950e-03	1.24409050e-05	5	true
11              	smoothSolver	1.41038290e-02	1.29010210e-04	7	6.97704820e-03	5.25834150e-05	7	false	GAMG	1.66749830e-03	1.10688790e-05	5	true
12              	smoothSolver	1.28854390e-02	1.19641900e-04	7	6.56782420e-03	5.07706780e-05	7	false	GAMG	1.46326690e-03	9.91833890e-06	5	true
13              	smoothSolver	1.18834050e-02	1.11688340e-04	7	6.21406030e-03	4.90997970e-05	7	false	GAMG	1.30522620e-03	8.92638860e-06	5	true
14              	smoothSolver	1.10384560e-02	1.04724170e-04	7	5.89336920e-03	4.76455540e-05	7	false	GAMG	1.16985220e-03	8.05957670e-06	5	true
15              	smoothSolver	1.02969230e-02	9.85189480e-05	7	5.62044590e-03	4.62713660e-05	7	false	GAMG	1.05614200e-03	7.29626520e-06	5	true
16              	smoothSolver	9.64017980e-03	9.30628060e-05	7	5.38122430e-03	4.49579510e-05	7	false	GAMG	9.57049570e-04	6.62073290e-06	5	true
17              	smoothSolver	9.07600460e-03	8.81563800e-05	7	5.15867470e-03	4.37531670e-05	7	false	GAMG	8.71186010e-04	6.02042390e-06	5	true
18              	smoothSolver	8.57123610e-03	8.37529660e-05	7	4.95526040e-03	4.26814490e-05	7	false	GAMG	7.98819560e-04	5.48515290e-06	5	true
19              	smoothSolver	8.11298710e-03	7.97155990e-05	7	4.78211950e-03	4.16397360e-05	7	false	GAMG	7.35819640e-04	5.00916510e-06	5	true
